# t (s), V (Volts)
0.001000, 0.274277
0.002000, -0.149187
0.003000, 0.486256
0.004000, 1.175406
0.005000, 2.651033
0.006000, 2.471502
0.007000, -0.284464
0.008000, 1.056620
0.009000, 1.854599
0.010000, 0.911859
0.011000, 1.890877
0.012000, 0.845627
0.013000, 1.335216
0.014000, -0.777815
0.015000, 2.193047
0.016000, 2.459942
0.017000, 2.130835
0.018000, 0.856650
0.019000, 0.283279
0.020000, 2.544606
0.021000, 0.481619
0.022000, 0.723831
0.023000, 0.525284
0.024000, 3.523815
0.025000, 1.496304
0.026000, 2.793425
0.027000, 2.199012
0.028000, 1.328102
0.029000, -0.673411
0.030000, 1.811840
0.031000, 2.006887
0.032000, -1.874838
0.033000, 1.597617
0.034000, 1.878686
0.035000, 0.559251
0.036000, 0.524096
0.037000, 1.516897
0.038000, 0.760330
0.039000, 0.833394
0.040000, 0.788668
0.041000, 1.300892
0.042000, 0.751512
0.043000, 0.981968
0.044000, 2.358679
0.045000, 0.781864
0.046000, 2.120757
0.047000, 0.549556
0.048000, 0.899548
0.049000, 3.665257
0.050000, 0.001479
0.051000, 1.702632
0.052000, 1.434329
0.053000, 0.760264
0.054000, 0.625095
0.055000, 2.340104
0.056000, 2.249646
0.057000, -0.070886
0.058000, -0.042923
0.059000, 1.135155
0.060000, 0.490050
0.061000, 0.293435
0.062000, -0.858353
0.063000, 2.394997
0.064000, 1.632703
0.065000, 0.119764
0.066000, 0.283622
0.067000, 1.977339
0.068000, 0.636937
0.069000, 1.047968
0.070000, 2.177272
0.071000, 0.588173
0.072000, 0.783883
0.073000, 2.110408
0.074000, 2.584572
0.075000, 2.220619
0.076000, 3.565578
0.077000, 2.471105
0.078000, 1.604965
0.079000, 1.767539
0.080000, 2.986821
0.081000, 1.069028
0.082000, 1.381808
0.083000, 1.538043
0.084000, 0.323961
0.085000, -0.203651
0.086000, 1.223649
0.087000, 0.614959
0.088000, 2.406391
0.089000, 1.062773
0.090000, 1.959312
0.091000, 1.402795
0.092000, 1.284942
0.093000, -0.387422
0.094000, 2.920340
0.095000, -0.120978
0.096000, 1.959315
0.097000, 1.877011
0.098000, 1.021212
0.099000, 1.554864
0.100000, 0.108884
0.101000, -0.494024
0.102000, 0.883243
0.103000, 3.053402
0.104000, -0.801103
0.105000, 0.804255
0.106000, 1.678775
0.107000, 2.061487
0.108000, 2.204378
0.109000, 2.560148
0.110000, 1.346254
0.111000, 0.850102
0.112000, 2.330143
0.113000, 1.627209
0.114000, 0.885923
0.115000, 1.039081
0.116000, 0.202369
0.117000, 2.862833
0.118000, 0.792450
0.119000, 1.098897
0.120000, 1.657733
0.121000, 2.682610
0.122000, 0.502312
0.123000, 2.490579
0.124000, 1.961051
0.125000, 2.179884
0.126000, 3.335194
0.127000, 0.513120
0.128000, 1.888653
0.129000, 2.223494
0.130000, 1.040138
0.131000, 1.331888
0.132000, 2.194279
0.133000, 0.219080
0.134000, 0.923437
0.135000, 0.902345
0.136000, 2.447445
0.137000, 0.917892
0.138000, 2.212810
0.139000, 1.897282
0.140000, 2.510949
0.141000, 1.903399
0.142000, 1.956523
0.143000, -0.018854
0.144000, 1.658722
0.145000, 0.515199
0.146000, 1.241087
0.147000, 2.726160
0.148000, 2.149042
0.149000, 1.294748
0.150000, 1.078188
0.151000, 0.939013
0.152000, 0.919434
0.153000, 0.335646
0.154000, -0.259382
0.155000, 1.615648
0.156000, 1.030242
0.157000, 1.367708
0.158000, 0.273507
0.159000, 1.611427
0.160000, 2.359231
0.161000, 0.040372
0.162000, 0.907342
0.163000, 1.468939
0.164000, 0.829804
0.165000, 0.626972
0.166000, 1.054530
0.167000, 0.431704
0.168000, 1.614038
0.169000, 0.760918
0.170000, 1.146498
0.171000, 2.880618
0.172000, -0.608584
0.173000, 3.403032
0.174000, -0.236662
0.175000, 1.371392
0.176000, -0.432644
0.177000, 0.805566
0.178000, 2.827863
0.179000, 0.408086
0.180000, 1.797604
0.181000, 2.327157
0.182000, -0.488746
0.183000, 1.413369
0.184000, 0.108346
0.185000, 2.929894
0.186000, 1.081335
0.187000, -1.453275
0.188000, 1.536408
0.189000, 0.184051
0.190000, 1.806087
0.191000, 0.842585
0.192000, 0.684708
0.193000, 1.987987
0.194000, -0.412667
0.195000, 3.106287
0.196000, -0.400785
0.197000, -0.916462
0.198000, 0.381101
0.199000, 0.626895
0.200000, 1.127852
0.201000, 2.054793
0.202000, 1.974892
0.203000, 2.649544
0.204000, 1.486011
0.205000, 1.473464
0.206000, 2.696342
0.207000, 0.883417
0.208000, 1.960865
0.209000, 1.673115
0.210000, 0.942207
0.211000, 1.384853
0.212000, 2.276271
0.213000, 0.222355
0.214000, 0.720601
0.215000, 1.640380
0.216000, 2.255011
0.217000, 0.847735
0.218000, 1.992405
0.219000, 1.792075
0.220000, -0.463238
0.221000, 2.183205
0.222000, -1.238054
0.223000, 1.179196
0.224000, 1.726634
0.225000, 0.664663
0.226000, 0.896611
0.227000, -0.532905
0.228000, 0.854868
0.229000, 1.547471
0.230000, 0.038424
0.231000, 2.442887
0.232000, 0.447798
0.233000, -1.197345
0.234000, 1.877308
0.235000, 2.243837
0.236000, 1.904475
0.237000, 2.023384
0.238000, 0.306011
0.239000, 0.477110
0.240000, 0.239680
0.241000, 0.929320
0.242000, 0.318131
0.243000, -0.012357
0.244000, 1.236584
0.245000, 1.245256
0.246000, 1.518587
0.247000, -1.086476
0.248000, 1.575639
0.249000, 1.788903
0.250000, 0.615352
0.251000, -0.899006
0.252000, 1.636595
0.253000, 0.065981
