# t (s), V (Volts)
0.001000, 1.390185
0.002000, 2.006745
0.003000, 0.736142
0.004000, 1.412700
0.005000, 2.553686
0.006000, 0.028580
0.007000, 2.125370
0.008000, 2.861069
0.009000, 1.680558
0.010000, 1.175236
0.011000, 1.432317
0.012000, 0.579476
0.013000, 1.668846
0.014000, -0.630435
0.015000, 0.061439
0.016000, -0.558303
0.017000, 1.474707
0.018000, 1.750641
0.019000, -0.074204
0.020000, 1.471415
0.021000, 1.267535
0.022000, -0.091432
0.023000, 0.816837
0.024000, 2.342647
0.025000, 1.392829
0.026000, 0.846489
0.027000, 2.687194
0.028000, 1.480610
0.029000, 1.700798
0.030000, 0.940287
0.031000, -0.443924
0.032000, 2.068625
0.033000, 0.317321
0.034000, 2.205154
0.035000, 1.361290
0.036000, 0.141310
0.037000, 1.717032
0.038000, 0.693384
0.039000, 1.612521
0.040000, -1.064539
0.041000, 1.653592
0.042000, 0.574910
0.043000, 1.509513
0.044000, 0.344747
0.045000, 1.764558
0.046000, 1.529396
0.047000, 2.085759
0.048000, 0.890385
0.049000, 1.272010
0.050000, 2.665125
0.051000, 0.663817
0.052000, 2.612356
0.053000, 1.416992
0.054000, 1.178014
0.055000, -0.914436
0.056000, 1.980966
0.057000, 2.558782
0.058000, 0.518985
0.059000, 2.428463
0.060000, 0.679550
0.061000, 0.166002
0.062000, 2.065913
0.063000, 0.016115
0.064000, 0.855293
0.065000, 0.755299
0.066000, -0.582544
0.067000, 1.858093
0.068000, 1.499417
0.069000, -0.964479
0.070000, -2.081720
0.071000, 0.768689
0.072000, 0.425189
0.073000, 1.491644
0.074000, 0.828111
0.075000, 0.772847
0.076000, 1.905555
0.077000, 0.715887
0.078000, 0.949972
0.079000, 1.842697
0.080000, 1.326476
0.081000, 1.885849
0.082000, -0.920301
0.083000, 2.051558
0.084000, 2.122456
0.085000, 0.930612
0.086000, 3.236925
0.087000, 1.056387
0.088000, 0.652640
0.089000, 1.373021
0.090000, -0.559553
0.091000, 1.753415
0.092000, 0.083457
0.093000, 1.802025
0.094000, -0.234858
0.095000, 1.203089
0.096000, -0.584332
0.097000, 1.113359
0.098000, 0.905153
0.099000, 1.390876
0.100000, 1.093557
0.101000, 0.632574
0.102000, 1.483447
0.103000, -1.453884
0.104000, -0.166482
0.105000, 1.577449
0.106000, -0.952144
0.107000, 2.625618
0.108000, 0.795482
0.109000, 1.283177
0.110000, 0.914300
0.111000, 0.963491
0.112000, 2.784695
0.113000, 2.876816
0.114000, 0.796686
0.115000, -0.591408
0.116000, 1.402140
0.117000, 2.492078
0.118000, 0.269241
0.119000, 2.572415
0.120000, 1.723770
0.121000, -0.184616
0.122000, 0.103917
0.123000, 0.058413
0.124000, 1.901966
0.125000, -0.130757
0.126000, 0.927064
0.127000, 0.417455
0.128000, 0.482766
0.129000, 0.488136
0.130000, -0.171309
0.131000, 1.330388
0.132000, 1.838382
0.133000, 0.691305
0.134000, 2.075903
0.135000, 1.396100
0.136000, -1.389164
0.137000, 2.078408
0.138000, 2.381436
0.139000, 2.230631
0.140000, -0.124432
0.141000, 1.265513
0.142000, -0.491047
0.143000, 2.502583
0.144000, 1.480872
0.145000, 1.353376
0.146000, -0.747918
0.147000, 0.783767
0.148000, 2.029059
0.149000, 2.043080
0.150000, 0.771039
0.151000, -2.294495
0.152000, 1.022696
0.153000, 0.480334
0.154000, 0.237607
0.155000, 1.874044
0.156000, 0.581591
0.157000, 1.509924
0.158000, 2.789403
0.159000, 1.991253
0.160000, 1.737735
0.161000, 0.497427
0.162000, 0.115480
0.163000, -0.265832
0.164000, 0.377496
0.165000, 0.700633
0.166000, -0.234679
0.167000, -0.701313
0.168000, 0.863041
0.169000, 0.859203
0.170000, 1.421095
0.171000, 1.409194
0.172000, 1.635269
0.173000, 1.060383
0.174000, -0.196141
0.175000, 0.245339
0.176000, 1.723993
0.177000, 0.891940
0.178000, -0.077939
0.179000, 1.368779
0.180000, 1.740449
0.181000, 1.818792
0.182000, 0.569332
0.183000, -0.519319
0.184000, 0.137846
0.185000, 2.528086
0.186000, 0.859365
0.187000, 0.493817
0.188000, -0.431803
0.189000, 0.691363
0.190000, 1.194774
0.191000, 0.767007
0.192000, 0.629294
0.193000, 1.436214
0.194000, 1.247885
0.195000, 1.726395
0.196000, 0.021127
0.197000, 3.037450
0.198000, 0.831944
0.199000, 1.487879
0.200000, -0.150449
0.201000, 1.799798
0.202000, 2.162939
0.203000, 0.320954
0.204000, 0.384411
0.205000, 0.534576
0.206000, 0.603048
0.207000, 0.818754
0.208000, 1.233859
0.209000, -0.977611
0.210000, 1.131120
0.211000, 0.255000
0.212000, 1.095690
